id,code,name,,seq,9326A53C-059F-488D-972A-E3C990820EFC
5301FA8E-65A3-4AC7-8FA6-A89D2328C50D,WITUKETH,Social Impact,3,3,Social Impact
53FF58FC-7E79-4472-B834-3EF9756A8EC6,RUE,City Highlights,1,1,City Highlights
58760B86-F758-4DA5-AF90-8FDE7CD190BE,PEUE,Active,1,1,Active
593B4F40-2D99-47FF-9D16-82F46083CCFC,SUNB,Art & Culture & History,1,1,Art & Culture & History
6037E3B8-2F2D-4392-A285-6952FE0DD73B,USDE4,Art & Culture & History,2,1,Art & Culture & History
6037E3B8-2F2D-4392-A285-6952FE0DD73B,USDE4,City Highlights,2,2,City Highlights
652E48F2-0E94-4E72-9ABA-B866CE924E48,USBO1,Art & Culture & History,2,1,Art & Culture & History
652E48F2-0E94-4E72-9ABA-B866CE924E48,USBO1,Food & Drink,2,2,Food & Drink
6B6FE555-AF09-486F-AB35-BCE5674C175B,CAUH,Art & Culture & History,2,1,Art & Culture & History
6B6FE555-AF09-486F-AB35-BCE5674C175B,CAUH,Food & Drink,2,2,Food & Drink
6D547B8D-6BAE-44B5-A86E-EC0FB7AD2495,COSTA3,City Highlights,2,1,City Highlights
6D547B8D-6BAE-44B5-A86E-EC0FB7AD2495,COSTA3,Food & Drink,2,2,Food & Drink
6E8FDC52-4D9F-49C8-8370-05CB1A9C17AC,ROBUC,Art & Culture & History,2,1,Art & Culture & History
6E8FDC52-4D9F-49C8-8370-05CB1A9C17AC,ROBUC,Food & Drink,2,2,Food & Drink
715E2573-1C22-4FBB-A326-C70C876DC298,VUN,Art & Culture & History,1,1,Art & Culture & History
72C32B45-3C62-44B2-B477-36E5FBE3E52F,VUK,Food & Drink,1,1,Food & Drink
7412712A-A0FF-4404-9AD3-D0E7ECD3E277,FRUD,Art & Culture & History,2,1,Art & Culture & History
7412712A-A0FF-4404-9AD3-D0E7ECD3E277,FRUD,Food & Drink,2,2,Food & Drink
76EF3735-F0BB-4BF8-8BC0-A79EC189753D,TUU,City Highlights,1,1,City Highlights
77A5AE7B-8E6C-4490-902F-980E01C18756,PRIUSWA,City Highlights,2,1,City Highlights
77A5AE7B-8E6C-4490-902F-980E01C18756,PRIUSWA,Private,2,2,Private
78D06872-6B67-4D17-95AE-BE8AB819D9D4,ITUH,Art & Culture & History,2,1,Art & Culture & History
78D06872-6B67-4D17-95AE-BE8AB819D9D4,ITUH,Food & Drink,2,2,Food & Drink
7A9E5A0B-5FBD-4E4B-9597-79C5AC7019B0,USCA,City Highlights,1,1,City Highlights
7C60436D-28B4-4425-BA44-1C44C3EBDF73,CUBA4,Art & Culture & History,1,1,Art & Culture & History
7E44A9E2-F2B2-44BB-A8FE-F8F39CD8BC8C,IBUC,Active,1,1,Active
808849BC-5AFA-4CCD-A487-F63F7A7668DB,PRIGREA,City Highlights,2,1,City Highlights
808849BC-5AFA-4CCD-A487-F63F7A7668DB,PRIGREA,Private,2,2,Private
80E53590-1D1A-498F-8B38-F9F8C2664944,USWA,City Highlights,1,1,City Highlights
86976196-25B3-4E64-A5F8-C42E0DCE5584,MXUG,Art & Culture & History,1,1,Art & Culture & History
